Date,HomeTeam,AwayTeam,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
09/12/2023,Sheffield United,Brentford,Sheffield United,11,1,2,8,10,31,5,9.07,7.55,29.19,27.67,-20.12,14.99,9.73,53,113,5.49,Brentford,10,3,2,5,13,15,11,18.64,18.64,15.77,15.01,3.63,10.43,11.27,80,82,15.2
10/12/2023,Fulham,West Ham,Fulham,9,2,2,5,7,15,8,10.05,10.05,12.58,11.82,-1.77,12.54,12.92,57,58,10.38,West Ham,10,4,1,5,16,20,13,14.26,14.26,20.97,18.69,-4.44,16.62,12.48,48,76,10.13
07/12/2023,Tottenham,West Ham,Tottenham,10,6,1,3,19,15,19,17.58,17.58,16.44,14.92,2.66,8.05,11.62,131,55,15.6,West Ham,10,4,1,5,16,20,13,14.26,14.26,20.97,18.69,-4.44,16.62,12.48,48,76,10.13
06/12/2023,Sheffield United,Liverpool,Sheffield United,11,1,2,8,10,31,5,9.07,7.55,29.19,27.67,-20.12,14.99,9.73,53,113,5.49,Liverpool,11,7,3,1,24,9,24,24.55,22.26,14.06,14.06,8.21,9.01,18.02,123,68,21.37
09/12/2023,Crystal Palace,Liverpool,Crystal Palace,10,3,2,5,11,16,11,12.8,12.04,15.78,15.02,-2.98,12.94,8.63,55,101,11.9,Liverpool,11,7,3,1,24,9,24,24.55,22.26,14.06,14.06,8.21,9.01,18.02,123,68,21.37
06/12/2023,Crystal Palace,Bournemouth,Crystal Palace,10,3,2,5,11,16,11,12.8,12.04,15.78,15.02,-2.98,12.94,8.63,55,101,11.9,Bournemouth,10,3,2,5,12,22,11,15.34,15.34,20.58,19.06,-3.72,13.08,8.59,77,110,11.15
09/12/2023,Manchester United,Bournemouth,Manchester United,10,6,0,4,12,12,18,13.06,12.3,17.04,15.52,-3.22,13.29,15.28,85,71,11.83,Bournemouth,10,3,2,5,12,22,11,15.34,15.34,20.58,19.06,-3.72,13.08,8.59,77,110,11.15
06/12/2023,Manchester United,Chelsea,Manchester United,10,6,0,4,12,12,18,13.06,12.3,17.04,15.52,-3.22,13.29,15.28,85,71,11.83,Chelsea,10,3,3,4,17,16,12,20.77,17.73,15.3,14.54,3.19,9.67,13.92,103,66,17.29
10/12/2023,Everton,Chelsea,Everton,10,4,2,4,14,14,14,18.09,18.09,13.76,11.47,6.62,14.83,9.67,61,80,16.31,Chelsea,10,3,3,4,17,16,12,20.77,17.73,15.3,14.54,3.19,9.67,13.92,103,66,17.29
07/12/2023,Everton,Newcastle United,Everton,10,4,2,4,14,14,14,18.09,18.09,13.76,11.47,6.62,14.83,9.67,61,80,16.31,Newcastle United,11,6,2,3,26,12,20,23.83,21.55,11.36,11.36,10.19,9.78,12.51,70,61,22.72
10/12/2023,Tottenham,Newcastle United,Tottenham,10,6,1,3,19,15,19,17.58,17.58,16.44,14.92,2.66,8.05,11.62,131,55,15.6,Newcastle United,11,6,2,3,26,12,20,23.83,21.55,11.36,11.36,10.19,9.78,12.51,70,61,22.72
