,Date,HomeTeam,AwayTeam,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,02/12/2023,Arsenal,Wolverhampton Wanderers,10,0.7,0.2,0.1,2.2,0.7,2.3,1.86,1.556,0.982,0.906,0.65,9.9,16.02,8.8,5.5,1.794,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5555555555555556,1.6666666666666667,1.3333333333333333,1.2333333333333334,1.2333333333333334,1.6744444444444444,1.42,-0.18666666666666665,11.5,9.39,6.111111111111111,9.11111111111111,1.1044444444444443,641bd55e-d36b-5cb6-b271-d1ef78f891bc
1,02/12/2023,Brentford,Luton,10,0.3,0.2,0.5,1.3,1.5,1.1,1.864,1.864,1.577,1.501,0.363,10.43,11.27,8.0,8.2,1.52,11,0.18181818181818182,0.2727272727272727,0.5454545454545454,1.0,1.4545454545454546,0.8181818181818182,1.3,1.2309090909090907,2.2427272727272727,2.2427272727272727,-1.0109090909090908,16.6,7.22,5.090909090909091,9.090909090909092,0.890909090909091,3498b1b2-c0b2-5020-bcc7-a0ba4b5421b3
2,02/12/2023,Burnley,Sheffield United,12,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.8333333333333334,2.4166666666666665,0.3333333333333333,0.965,0.9016666666666667,1.9225,1.7958333333333334,-0.8933333333333334,12.08,13.59,4.75,8.75,0.8033333333333333,11,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.9090909090909091,2.8181818181818183,0.45454545454545453,0.8245454545454546,0.6863636363636364,2.653636363636364,2.5154545454545456,-1.829090909090909,14.99,9.73,4.818181818181818,10.272727272727273,0.4990909090909091,fdc79e28-7bbf-54a4-9af0-7b4c2adecf00
3,02/12/2023,Nottingham Forest,Everton,10,0.2,0.4,0.4,1.1,1.5,1.0,1.276,1.2,1.599,1.522,-0.322,19.55,12.44,5.8,9.6,1.125,10,0.4,0.2,0.4,1.4,1.4,1.4,1.809,1.809,1.376,1.147,0.662,14.83,9.67,6.1,8.0,1.6309999999999998,ac7af5d0-88f0-548a-b722-ea00fba7521f
4,02/12/2023,Newcastle United,Manchester United,11,0.5454545454545454,0.18181818181818182,0.2727272727272727,2.3636363636363638,1.0909090909090908,1.8181818181818181,2.166363636363636,1.9590909090909092,1.0327272727272727,1.0327272727272727,0.9263636363636363,9.78,12.51,6.363636363636363,5.545454545454546,2.0654545454545454,10,0.6,0.0,0.4,1.2,1.2,1.8,1.306,1.23,1.704,1.552,-0.322,13.29,15.28,8.5,7.1,1.183,3005c4ca-c420-5458-b0f0-e9c8acb6b1a5
5,03/12/2023,Bournemouth,Aston Villa,10,0.3,0.2,0.5,1.2,2.2,1.1,1.534,1.534,2.058,1.906,-0.372,13.08,8.59,7.7,11.0,1.115,11,0.7272727272727273,0.09090909090909091,0.18181818181818182,2.3636363636363638,1.1818181818181819,2.272727272727273,2.057272727272727,1.919090909090909,1.25,1.25,0.6690909090909091,15.16,10.72,10.545454545454545,7.0,1.9218181818181819,e91331ad-0f60-545b-b5fc-b107378b35e1
6,03/12/2023,Chelsea,Brighton,10,0.3,0.3,0.4,1.7,1.6,1.2,2.077,1.7730000000000001,1.53,1.454,0.319,9.67,13.92,10.3,6.6,1.7289999999999999,10,0.4,0.4,0.2,1.9,1.8,1.6,1.44,1.364,1.284,1.131,0.23199999999999998,10.27,15.03,7.2,8.7,1.486,b193a0ed-87eb-56c1-b069-47628b9dd8e7
7,03/12/2023,Liverpool,Fulham,11,0.6363636363636364,0.2727272727272727,0.09090909090909091,2.1818181818181817,0.8181818181818182,2.1818181818181817,2.231818181818182,2.023636363636364,1.2781818181818183,1.2781818181818183,0.7463636363636365,9.01,18.02,11.181818181818182,6.181818181818182,1.9427272727272729,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777778,1.6666666666666667,0.8888888888888888,1.1166666666666667,1.1166666666666667,1.3977777777777778,1.3133333333333335,-0.19666666666666666,12.54,12.92,6.333333333333333,6.444444444444445,1.1533333333333333,0795dba3-775d-533b-8252-73ab0ab696b6
8,03/12/2023,West Ham,Crystal Palace,10,0.4,0.1,0.5,1.6,2.0,1.3,1.426,1.426,2.097,1.8690000000000002,-0.44400000000000006,16.62,12.48,4.8,7.6,1.0130000000000001,10,0.3,0.2,0.5,1.1,1.6,1.1,1.28,1.204,1.5779999999999998,1.502,-0.298,12.94,8.63,5.5,10.1,1.19,f5fd40cd-e7e0-57f8-b9aa-34b70fda1409
9,03/12/2023,Manchester City,Tottenham,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,2.6363636363636362,1.1818181818181819,2.090909090909091,2.3709090909090906,2.0936363636363637,1.0427272727272727,0.9736363636363637,1.12,12.08,20.59,13.363636363636363,4.454545454545454,2.1063636363636364,10,0.6,0.1,0.3,1.9,1.5,1.9,1.7579999999999998,1.7579999999999998,1.6440000000000001,1.492,0.266,8.05,11.62,13.1,5.5,1.56,7a245fbb-985d-51cf-ba40-10d0d4b3141f
