,Date,HomeTeam,AwayTeam,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,02/12/2023,Arsenal,Wolverhampton Wanderers,13,0.6923076923076923,0.23076923076923078,0.07692307692307693,2.076923076923077,0.7692307692307693,2.3076923076923075,1.9138461538461538,1.563076923076923,0.9776923076923077,0.9192307692307692,0.6438461538461537,9.21,18.04,9.692307692307692,5.461538461538462,1.853846153846154,12,0.3333333333333333,0.25,0.4166666666666667,1.3333333333333333,1.6666666666666667,1.25,1.4091666666666667,1.4091666666666667,1.8408333333333333,1.6508333333333332,-0.24083333333333334,11.75,9.25,6.416666666666667,9.916666666666666,1.105,641bd55e-d36b-5cb6-b271-d1ef78f891bc
1,02/12/2023,Brentford,Luton,13,0.3076923076923077,0.3076923076923077,0.38461538461538464,1.4615384615384615,1.3846153846153846,1.2307692307692308,1.9207692307692308,1.8038461538461539,1.4376923076923078,1.3792307692307693,0.42461538461538456,10.49,10.74,8.384615384615385,7.846153846153846,1.6253846153846152,13,0.15384615384615385,0.23076923076923078,0.6153846153846154,0.9230769230769231,1.7692307692307692,0.6923076923076923,1.2815384615384615,1.163846153846154,2.496153846153846,2.437692307692308,-1.2730769230769232,17.27,7.19,5.0,10.307692307692308,0.7738461538461539,3498b1b2-c0b2-5020-bcc7-a0ba4b5421b3
2,02/12/2023,Burnley,Sheffield United,13,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.7692307692307693,2.4615384615384617,0.3076923076923077,0.9146153846153846,0.8561538461538463,1.959230769230769,1.8423076923076922,-0.9853846153846154,13.18,13.71,4.6923076923076925,8.76923076923077,0.7523076923076922,13,0.07692307692307693,0.15384615384615385,0.7692307692307693,0.8461538461538461,2.6153846153846154,0.38461538461538464,0.7730769230769231,0.6553846153846153,2.5261538461538464,2.4084615384615384,-1.753076923076923,14.76,9.6,4.538461538461538,9.846153846153847,0.48923076923076925,fdc79e28-7bbf-54a4-9af0-7b4c2adecf00
3,02/12/2023,Nottingham Forest,Everton,13,0.23076923076923078,0.3076923076923077,0.46153846153846156,1.2307692307692308,1.6153846153846154,1.0,1.2353846153846153,1.176923076923077,1.57,1.4530769230769232,-0.2753846153846154,20.52,11.15,5.615384615384615,9.384615384615385,1.1553846153846155,13,0.3076923076923077,0.15384615384615385,0.5384615384615384,1.0769230769230769,1.5384615384615385,1.0769230769230769,1.7923076923076924,1.7923076923076924,1.536923076923077,1.3030769230769232,0.48923076923076925,14.83,10.45,5.923076923076923,7.923076923076923,1.56,ac7af5d0-88f0-548a-b722-ea00fba7521f
4,02/12/2023,Newcastle United,Manchester United,13,0.5384615384615384,0.15384615384615385,0.3076923076923077,2.3846153846153846,1.0769230769230769,1.7692307692307692,2.1853846153846153,2.01,1.083076923076923,1.083076923076923,0.926923076923077,10.57,12.5,6.461538461538462,5.846153846153846,1.9984615384615385,13,0.6153846153846154,0.0,0.38461538461538464,1.2307692307692308,1.2307692307692308,1.8461538461538463,1.5776923076923077,1.46,1.713076923076923,1.5953846153846152,-0.13538461538461538,12.13,14.92,9.692307692307692,7.6923076923076925,1.3392307692307692,3005c4ca-c420-5458-b0f0-e9c8acb6b1a5
5,03/12/2023,Bournemouth,Aston Villa,13,0.23076923076923078,0.23076923076923078,0.5384615384615384,1.0769230769230769,2.1538461538461537,0.9230769230769231,1.44,1.44,2.1215384615384614,1.933846153846154,-0.4938461538461538,11.9,8.53,7.6923076923076925,11.461538461538462,1.0092307692307692,13,0.6923076923076923,0.07692307692307693,0.23076923076923078,2.3846153846153846,1.3846153846153846,2.1538461538461537,2.1046153846153848,1.929230769230769,1.4453846153846153,1.4453846153846153,0.48384615384615387,14.83,11.38,10.384615384615385,6.769230769230769,1.8553846153846154,e91331ad-0f60-545b-b5fc-b107378b35e1
6,03/12/2023,Chelsea,Brighton,13,0.3076923076923077,0.3076923076923077,0.38461538461538464,1.6923076923076923,1.5384615384615385,1.2307692307692308,2.1330769230769233,1.84,1.4446153846153846,1.3276923076923077,0.5130769230769231,9.14,15.4,10.76923076923077,6.3076923076923075,1.7876923076923075,13,0.46153846153846156,0.3076923076923077,0.23076923076923078,2.1538461538461537,1.7692307692307692,1.6923076923076923,1.7915384615384615,1.6746153846153846,1.566153846153846,1.3907692307692305,0.28384615384615386,9.28,15.74,9.692307692307692,8.076923076923077,1.5146153846153847,b193a0ed-87eb-56c1-b069-47628b9dd8e7
7,03/12/2023,Liverpool,Fulham,13,0.6153846153846154,0.3076923076923077,0.07692307692307693,2.1538461538461537,0.8461538461538461,2.1538461538461537,2.2384615384615385,1.9923076923076921,1.3369230769230769,1.3369230769230769,0.6553846153846153,9.61,16.51,11.0,6.6923076923076925,1.9092307692307693,12,0.25,0.25,0.5,0.8333333333333334,1.6666666666666667,1.0,1.0733333333333335,1.0733333333333335,1.8225,1.6325,-0.5591666666666667,13.3,12.73,6.083333333333333,8.333333333333334,0.9391666666666666,0795dba3-775d-533b-8252-73ab0ab696b6
8,03/12/2023,West Ham,Crystal Palace,13,0.46153846153846156,0.15384615384615385,0.38461538461538464,1.7692307692307692,1.7692307692307692,1.5384615384615385,1.5692307692307692,1.5107692307692309,1.959230769230769,1.7246153846153847,-0.21384615384615382,16.82,10.54,5.076923076923077,9.0,1.1792307692307693,13,0.3076923076923077,0.23076923076923078,0.46153846153846156,1.0,1.3846153846153846,1.1538461538461537,1.323846153846154,1.2653846153846153,1.4892307692307691,1.3723076923076922,-0.10692307692307691,12.33,8.9,6.076923076923077,8.846153846153847,1.2738461538461539,f5fd40cd-e7e0-57f8-b9aa-34b70fda1409
9,03/12/2023,Manchester City,Tottenham,13,0.6923076923076923,0.15384615384615385,0.15384615384615385,2.5384615384615383,1.0,2.230769230769231,2.2846153846153845,2.0507692307692307,0.9261538461538461,0.8676923076923077,1.1830769230769231,12.44,20.76,12.692307692307692,4.461538461538462,2.166923076923077,13,0.6153846153846154,0.15384615384615385,0.23076923076923078,1.9230769230769231,1.3076923076923077,2.0,1.833076923076923,1.833076923076923,1.636923076923077,1.4615384615384615,0.37153846153846154,7.93,11.7,13.076923076923077,6.461538461538462,1.5892307692307692,7a245fbb-985d-51cf-ba40-10d0d4b3141f
