Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
28/08/2021,Augsburg,Bayer Leverkusen,1-4,4.75,3.8,1.72,1.8,2.0,Augsburg,2,0,1,1,0,4,1,0.9,0.9,4.77,4.77,-3.87,16.19,7.22,14,16,0.48,Bayer Leverkusen,2,1,1,0,5,1,4,2.74,2.74,2.1,1.35,1.39,10.04,13.55,12,12,3.18
28/08/2021,Arminia Bielefeld,Eintracht Frankfurt,1-1,3.3,3.6,2.1,1.8,2.0,Arminia Bielefeld,2,0,2,0,1,1,2,1.34,1.34,4.21,3.46,-2.12,12.27,7.95,7,10,0.8,Eintracht Frankfurt,2,0,1,1,2,5,1,2.7,2.7,3.0,3.0,-0.31,9.46,14.47,9,22,2.85
28/08/2021,FC Cologne,Bochum,2-1,1.83,3.75,4.2,1.72,2.1,FC Cologne,2,1,0,1,5,4,3,2.58,2.58,5.19,5.19,-2.6,7.48,11.07,9,10,1.17,Bochum,2,1,0,1,2,1,3,1.35,1.35,3.61,2.85,-1.5,20.15,8.72,3,13,1.65
28/08/2021,Mainz 05,Greuther Fuerth,3-0,1.66,4.0,5.0,1.72,2.1,Mainz 05,2,1,0,1,1,2,3,2.09,2.09,1.89,1.89,0.19,11.88,9.0,6,7,2.94,Greuther Fuerth,2,0,1,1,2,6,1,3.89,3.13,5.02,5.02,-1.89,16.06,13.25,9,16,2.74
28/08/2021,VfB Stuttgart,Freiburg,2-3,2.15,3.6,3.2,1.72,2.1,VfB Stuttgart,2,1,0,1,5,5,3,5.22,5.22,4.18,3.42,1.8,10.27,15.14,17,22,3.05,Freiburg,2,1,1,0,2,1,4,3.22,3.22,2.07,2.07,1.15,14.49,8.18,8,24,3.7
28/08/2021,Bayern Munich,Hertha Berlin,5-0,1.14,9.0,15.0,1.25,4.0,Bayern Munich,2,1,1,0,4,3,4,6.0,6.0,2.95,2.95,3.05,8.82,10.3,23,8,4.66,Hertha Berlin,2,0,0,2,2,5,0,3.28,2.52,2.18,2.18,0.34,14.74,6.07,6,22,3.79
29/08/2021,Union Berlin,Borussia M.Gladbach,2-1,2.45,3.25,2.9,1.8,2.0,Union Berlin,2,0,2,0,3,3,2,2.8,2.8,1.76,1.76,1.03,18.88,7.86,11,13,3.38,Borussia M.Gladbach,2,0,1,1,1,5,1,3.65,2.89,4.86,4.86,-1.97,10.42,11.13,13,24,1.97
29/08/2021,Wolfsburg,RasenBallsport Leipzig,1-0,3.6,3.5,2.05,1.8,2.0,Wolfsburg,2,2,0,0,3,1,6,3.35,2.59,1.47,0.71,1.87,8.13,19.28,23,4,3.55,RasenBallsport Leipzig,2,1,0,1,4,1,3,3.71,2.95,2.23,2.23,0.72,7.2,12.95,25,5,3.44
11/09/2021,Freiburg,FC Cologne,1-1,2.2,3.6,3.1,1.66,2.2,Freiburg,3,2,1,0,5,3,7,4.58,4.58,4.35,4.35,0.23,14.34,7.83,13,33,4.42,FC Cologne,3,2,0,1,7,5,6,5.49,5.49,5.91,5.91,-0.41,6.52,12.48,19,16,3.89
11/09/2021,Greuther Fuerth,Wolfsburg,0-2,5.5,4.33,1.57,1.61,2.3,Greuther Fuerth,3,0,1,2,2,9,1,4.2,3.44,7.82,7.82,-4.38,13.92,9.99,14,28,2.84,Wolfsburg,3,3,0,0,4,1,9,4.46,3.7,2.91,2.15,1.55,9.18,12.46,24,11,4.57
