Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
18/08/2017,Bayern Munich,Bayer Leverkusen,3-1,1.25,6.0,12.0,1.41,2.88,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2017,Hamburger SV,Augsburg,1-0,2.1,3.4,3.6,2.18,1.68,Hamburger SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2017,Hertha Berlin,VfB Stuttgart,2-0,2.0,3.4,3.9,1.94,1.87,Hertha Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2017,Hoffenheim,Werder Bremen,1-0,1.75,4.0,4.33,1.52,2.5,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2017,Mainz 05,Hannover 96,0-1,2.0,3.4,4.0,2.06,1.76,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hannover 96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2017,Schalke 04,RasenBallsport Leipzig,2-0,2.8,3.4,2.5,1.88,1.92,Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2017,Wolfsburg,Borussia Dortmund,0-3,3.8,4.0,1.85,1.54,2.46,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2017,Freiburg,Eintracht Frankfurt,0-0,2.45,3.25,3.0,2.15,1.7,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2017,Borussia M.Gladbach,FC Cologne,1-0,1.91,3.5,4.1,1.91,1.91,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FC Cologne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2017,FC Cologne,Hamburger SV,1-3,1.95,3.4,4.0,2.06,1.76,FC Cologne,1,0,0,1,0,1,0,0.84,0.84,1.63,1.63,-0.79,15.73,14.18,4,10,0.78,Hamburger SV,1,1,0,0,1,0,3,0.55,0.55,0.57,0.57,-0.02,10.68,4.58,4,11,1.25
26/08/2017,Augsburg,Borussia M.Gladbach,2-2,3.25,3.4,2.25,2.08,1.75,Augsburg,1,0,0,1,0,1,0,0.57,0.57,0.55,0.55,0.02,4.58,10.68,11,4,1.33,Borussia M.Gladbach,1,1,0,0,1,0,3,1.63,1.63,0.84,0.84,0.79,14.18,15.73,10,4,1.98
26/08/2017,Borussia Dortmund,Hertha Berlin,2-0,1.36,5.0,7.5,1.53,2.49,Borussia Dortmund,1,1,0,0,3,0,3,1.12,1.12,0.5,0.5,0.63,3.09,19.11,10,2,1.94,Hertha Berlin,1,1,0,0,2,0,3,0.44,0.44,0.88,0.88,-0.44,8.55,12.63,1,6,0.87
26/08/2017,Eintracht Frankfurt,Wolfsburg,0-1,2.3,3.25,3.3,2.12,1.72,Eintracht Frankfurt,1,0,1,0,0,0,1,1.54,1.54,0.23,0.23,1.31,10.57,10.82,5,3,2.53,Wolfsburg,1,0,0,1,0,3,0,0.5,0.5,1.12,1.12,-0.63,19.11,3.09,2,10,0.74
26/08/2017,Bayer Leverkusen,Hoffenheim,2-2,2.05,3.6,3.6,1.6,2.34,Bayer Leverkusen,1,0,0,1,1,3,0,1.89,1.89,2.78,2.02,-0.13,11.85,13.09,14,13,0.79,Hoffenheim,1,1,0,0,1,0,3,0.97,0.97,0.81,0.81,0.17,7.54,15.23,8,2,1.47
26/08/2017,VfB Stuttgart,Mainz 05,1-0,2.3,3.4,3.1,1.8,2.01,VfB Stuttgart,1,0,0,1,0,2,0,0.88,0.88,0.44,0.44,0.44,12.63,8.55,6,1,1.76,Mainz 05,1,0,0,1,0,1,0,0.53,0.53,0.61,0.61,-0.08,4.91,14.91,6,1,1.16
26/08/2017,Werder Bremen,Bayern Munich,0-2,11.0,6.5,1.25,1.37,3.02,Werder Bremen,1,0,0,1,0,1,0,0.81,0.81,0.97,0.97,-0.17,15.23,7.54,2,8,1.17,Bayern Munich,1,1,0,0,3,1,3,2.78,2.02,1.89,1.89,0.13,13.09,11.85,13,14,2.01
27/08/2017,Hannover 96,Schalke 04,1-0,3.3,3.4,2.2,1.86,1.95,Hannover 96,1,1,0,0,1,0,3,0.61,0.61,0.53,0.53,0.08,14.91,4.91,1,6,1.41,Schalke 04,1,1,0,0,2,0,3,1.91,1.15,0.79,0.79,0.36,9.56,4.48,3,5,2.31
27/08/2017,RasenBallsport Leipzig,Freiburg,4-1,1.36,5.0,8.5,1.69,2.16,RasenBallsport Leipzig,1,0,0,1,0,2,0,0.79,0.79,1.91,1.15,-0.36,4.48,9.56,5,3,0.48,Freiburg,1,0,1,0,0,0,1,0.23,0.23,1.54,1.54,-1.31,10.82,10.57,3,5,0.29
08/09/2017,Hamburger SV,RasenBallsport Leipzig,0-2,4.0,3.6,1.91,1.86,1.96,Hamburger SV,2,2,0,0,4,1,6,2.2,2.2,2.46,2.46,-0.26,14.37,5.86,8,21,2.45,RasenBallsport Leipzig,2,1,0,1,4,3,3,3.64,3.64,2.37,1.61,2.03,4.94,10.38,19,8,3.21
09/09/2017,Augsburg,FC Cologne,3-0,2.38,3.3,3.1,2.15,1.7,Augsburg,2,0,1,1,2,3,1,3.03,3.03,1.88,1.88,1.15,6.39,12.15,23,10,3.43,FC Cologne,2,0,0,2,1,4,0,2.73,2.73,3.27,3.27,-0.55,13.36,16.68,14,14,2.3
09/09/2017,Freiburg,Borussia Dortmund,0-0,7.5,5.0,1.4,1.59,2.35,Freiburg,2,0,1,1,1,4,1,0.69,0.69,4.4,4.4,-3.71,11.15,8.36,8,19,0.47,Borussia Dortmund,2,2,0,0,5,0,6,3.19,3.19,0.9,0.9,2.29,4.64,20.57,17,4,4.52
09/09/2017,Hoffenheim,Bayern Munich,2-0,7.0,4.5,1.45,1.44,2.74,Hoffenheim,2,1,1,0,3,2,4,1.65,1.65,3.24,2.48,-0.83,10.59,10.02,12,16,1.73,Bayern Munich,2,2,0,0,5,1,6,4.18,3.42,2.12,2.12,1.3,9.33,16.25,24,17,4.43
09/09/2017,Mainz 05,Bayer Leverkusen,3-1,3.0,3.4,2.38,1.77,2.05,Mainz 05,2,0,0,2,0,2,0,0.91,0.91,2.7,1.94,-1.03,7.21,10.02,8,9,1.39,Bayer Leverkusen,2,0,1,1,3,5,1,4.32,3.56,3.46,2.7,0.86,8.8,13.5,28,17,3.41
09/09/2017,Borussia M.Gladbach,Eintracht Frankfurt,0-1,1.83,3.6,4.5,1.92,1.88,Borussia M.Gladbach,2,1,1,0,3,2,4,2.95,2.95,3.29,3.29,-0.35,14.35,10.75,16,16,2.67,Eintracht Frankfurt,2,0,1,1,0,1,1,2.47,2.47,1.31,1.31,1.16,9.37,9.97,12,6,3.68
09/09/2017,Wolfsburg,Hannover 96,1-1,1.83,3.6,4.5,2.02,1.8,Wolfsburg,2,1,0,1,1,3,3,1.57,1.57,2.05,2.05,-0.48,13.92,5.55,5,17,2.26,Hannover 96,2,2,0,0,2,0,6,1.42,1.42,0.93,0.93,0.49,12.92,7.31,8,11,3.15
10/09/2017,Hertha Berlin,Werder Bremen,1-1,1.91,3.6,4.0,1.87,1.94,Hertha Berlin,2,1,0,1,2,2,3,0.84,0.84,2.95,2.95,-2.11,13.44,9.94,3,13,1.14,Werder Bremen,2,0,0,2,0,3,0,1.04,1.04,2.37,2.37,-1.34,18.81,6.71,5,19,1.52
10/09/2017,Schalke 04,VfB Stuttgart,3-1,1.7,3.75,5.0,1.77,2.05,Schalke 04,2,1,0,1,2,1,3,2.32,1.56,1.6,1.6,-0.04,10.12,6.94,8,12,3.17,VfB Stuttgart,2,1,0,1,1,2,3,2.97,2.21,0.82,0.82,1.39,9.33,9.52,14,3,4.4
15/09/2017,Hannover 96,Hamburger SV,2-0,1.95,3.5,4.0,2.07,1.76,Hannover 96,3,2,1,0,3,1,7,1.9,1.9,2.06,2.06,-0.17,11.64,7.62,10,20,3.89,Hamburger SV,3,2,0,1,4,3,6,3.37,3.37,3.84,3.84,-0.47,14.71,5.02,10,32,3.67
16/09/2017,Bayern Munich,Mainz 05,4-0,1.13,10.0,19.0,1.33,3.25,Bayern Munich,3,2,0,1,5,3,6,5.69,4.93,2.73,2.73,2.2,8.07,17.24,33,19,6.5,Mainz 05,3,1,0,2,3,3,3,2.25,2.25,3.66,2.9,-0.65,8.46,8.28,10,10,3.11
16/09/2017,Eintracht Frankfurt,Augsburg,1-2,1.85,3.5,4.5,2.25,1.64,Eintracht Frankfurt,3,1,1,1,1,1,4,3.08,3.08,1.94,1.94,1.15,10.08,7.88,19,15,4.94,Augsburg,3,1,1,1,5,3,4,5.31,4.55,2.33,2.33,2.22,8.01,9.93,24,18,6.13
16/09/2017,RasenBallsport Leipzig,Borussia M.Gladbach,2-2,1.67,3.8,5.5,1.67,2.19,RasenBallsport Leipzig,3,2,0,1,6,3,6,5.02,5.02,3.54,2.78,2.24,4.63,11.52,30,10,4.7,Borussia M.Gladbach,3,1,1,1,3,3,4,3.58,3.58,3.91,3.91,-0.33,10.67,11.09,25,23,4.0
16/09/2017,VfB Stuttgart,Wolfsburg,1-0,2.3,3.5,3.0,1.89,1.91,VfB Stuttgart,3,1,0,2,2,5,3,4.27,3.51,2.81,2.05,1.46,9.05,12.65,16,5,5.26,Wolfsburg,3,1,1,1,2,4,4,2.7,2.7,2.53,2.53,0.17,11.41,6.6,14,19,4.21
16/09/2017,Werder Bremen,Schalke 04,1-2,2.8,3.5,2.5,1.8,2.01,Werder Bremen,3,0,1,2,1,4,1,1.61,1.61,2.62,2.62,-1.02,15.16,7.76,8,20,3.11,Schalke 04,3,2,0,1,5,2,6,4.3,2.79,2.9,2.9,-0.11,12.96,7.44,10,14,5.07
17/09/2017,Borussia Dortmund,FC Cologne,5-0,1.22,6.0,13.0,1.43,2.77,Borussia Dortmund,3,2,1,0,5,0,7,4.76,4.76,1.39,1.39,3.37,4.11,23.46,26,5,6.72,FC Cologne,3,0,0,3,1,7,0,3.18,3.18,5.55,4.79,-1.61,10.4,14.76,22,15,2.5
17/09/2017,Hoffenheim,Hertha Berlin,1-1,1.67,3.8,5.5,1.77,2.04,Hoffenheim,3,2,1,0,5,2,7,2.27,2.27,4.75,4.0,-1.73,13.14,8.64,14,25,2.39,Hertha Berlin,3,1,1,1,3,3,4,1.09,1.09,3.52,3.52,-2.43,12.37,9.93,4,16,2.04
17/09/2017,Bayer Leverkusen,Freiburg,4-0,1.45,4.5,7.0,1.56,2.4,Bayer Leverkusen,3,0,1,2,4,8,1,5.29,4.53,4.8,4.04,0.49,7.45,12.35,29,19,4.4,Freiburg,3,0,2,1,1,4,2,1.18,1.18,5.96,5.96,-4.79,15.4,6.8,9,28,1.02
19/09/2017,Augsburg,RasenBallsport Leipzig,1-0,3.5,3.5,2.1,1.89,1.91,Augsburg,4,2,1,1,7,4,7,6.04,5.28,3.66,3.66,1.62,9.29,8.45,29,32,7.0,RasenBallsport Leipzig,4,2,1,1,8,5,7,5.76,5.76,4.99,3.48,2.28,5.9,10.76,38,20,5.4
19/09/2017,Borussia M.Gladbach,VfB Stuttgart,2-0,1.7,3.8,5.0,1.64,2.24,Borussia M.Gladbach,4,1,2,1,5,5,5,5.03,4.27,4.64,4.64,-0.37,10.06,10.75,35,31,6.02,VfB Stuttgart,4,2,0,2,3,5,6,5.4,4.64,3.26,2.5,2.14,9.74,11.9,22,9,7.27
19/09/2017,Schalke 04,Bayern Munich,0-3,7.0,4.75,1.44,1.56,2.39,Schalke 04,4,3,0,1,7,3,9,5.23,3.72,3.88,3.88,-0.16,11.88,7.74,13,20,6.39,Bayern Munich,4,3,0,1,9,3,9,10.11,9.35,3.44,3.44,5.91,7.26,18.94,58,20,9.42
19/09/2017,Wolfsburg,Werder Bremen,1-1,2.05,3.5,3.6,1.89,1.9,Wolfsburg,4,1,1,2,2,5,4,3.16,3.16,3.66,3.66,-0.51,10.94,7.89,18,25,4.89,Werder Bremen,4,0,1,3,2,6,1,2.59,2.59,3.56,3.56,-0.97,12.99,7.96,14,23,4.47
