Match Number,Round Number,Date,Location,Home Team,Away Team,Result
234,24,10/02/2024 23:00,Luigi Ferraris,Genoa,Atalanta,
235,24,10/02/2024 23:00,Juventus Stadium,Juventus,Udinese,
236,24,10/02/2024 23:00,San Siro,AC Milan,Napoli,
237,24,10/02/2024 23:00,Brianteo,Monza,Verona,
238,24,10/02/2024 23:00,Olimpico,Roma,Inter,
239,24,10/02/2024 23:00,Arechi,Salernitana,Empoli,
240,24,10/02/2024 23:00,Mapei Stadium - Città del Tricolore,Sassuolo,Torino,
241,25,17/02/2024 23:00,Olimpico Grande Torino,Torino,Lecce,
242,25,17/02/2024 23:00,Friuli,Udinese,Cagliari,
243,25,17/02/2024 23:00,Marcantonio Bentegodi,Verona,Juventus,
244,25,17/02/2024 23:00,Atleti Azzurri d'Italia,Atalanta,Sassuolo,
245,25,17/02/2024 23:00,Carlo Castellani,Empoli,Fiorentina,
