Match Number,Round Number,Date,Location,Home Team,Away Team,Result
334,34,27/04/2024 22:00,Juventus Stadium,Juventus,AC Milan,
335,34,27/04/2024 22:00,Olimpico,Lazio,Verona,
336,34,27/04/2024 22:00,Ettore Giardiniero - Via del mare,Lecce,Monza,
337,34,27/04/2024 22:00,Diego Armando Maradona,Napoli,Roma,
338,34,27/04/2024 22:00,Atleti Azzurri d'Italia,Atalanta,Empoli,
339,34,27/04/2024 22:00,Renato Dall'Ara,Bologna,Udinese,
340,34,27/04/2024 22:00,Artemio Franchi,Fiorentina,Sassuolo,
341,35,04/05/2024 22:00,Unipol Domus,Cagliari,Lecce,
342,35,04/05/2024 22:00,Carlo Castellani,Empoli,Frosinone,
343,35,04/05/2024 22:00,San Siro,AC Milan,Genoa,
344,35,04/05/2024 22:00,Brianteo,Monza,Lazio,
345,35,04/05/2024 22:00,Olimpico,Roma,Juventus,
346,35,04/05/2024 22:00,Arechi,Salernitana,Atalanta,
347,35,04/05/2024 22:00,Mapei Stadium - Città del Tricolore,Sassuolo,Inter,
348,35,04/05/2024 22:00,Olimpico Grande Torino,Torino,Bologna,
349,35,04/05/2024 22:00,Friuli,Udinese,Napoli,
350,35,04/05/2024 22:00,Marcantonio Bentegodi,Verona,Fiorentina,
351,36,11/05/2024 22:00,Atleti Azzurri d'Italia,Atalanta,Roma,
352,36,11/05/2024 22:00,Artemio Franchi,Fiorentina,Monza,
353,36,11/05/2024 22:00,Benito Stirpe,Frosinone,Inter,
354,36,11/05/2024 22:00,Luigi Ferraris,Genoa,Sassuolo,
355,36,11/05/2024 22:00,Juventus Stadium,Juventus,Salernitana,
356,36,11/05/2024 22:00,Olimpico,Lazio,Empoli,
357,36,11/05/2024 22:00,Ettore Giardiniero - Via del mare,Lecce,Udinese,
358,36,11/05/2024 22:00,San Siro,AC Milan,Cagliari,
359,36,11/05/2024 22:00,Diego Armando Maradona,Napoli,Bologna,
360,36,11/05/2024 22:00,Marcantonio Bentegodi,Verona,Torino,
361,37,18/05/2024 22:00,Renato Dall'Ara,Bologna,Juventus,
362,37,18/05/2024 22:00,Artemio Franchi,Fiorentina,Napoli,
