,Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,24/11/2023,FC Cologne,Bayern Munich,10.0,6.4,1.26,3.5,1.75,2.07,1.62,2.2,11,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.8181818181818182,2.090909090909091,0.5454545454545454,1.440909090909091,1.2345454545454546,2.419090909090909,2.35,-1.1154545454545455,13.99,11.37,5.7272727272727275,9.090909090909092,0.9445454545454546,11,0.8181818181818182,0.18181818181818182,0.0,3.8181818181818183,0.8181818181818182,2.6363636363636362,3.090909090909091,2.8845454545454547,0.8545454545454546,0.7854545454545455,2.099090909090909,11.05,16.38,14.727272727272727,5.636363636363637,2.5072727272727273,ad98c3d9-3297-52d3-b476-e695330f9565
1,25/11/2023,Werder Bremen,Bayer Leverkusen,6.0,4.9,1.47,3.5,2.02,1.8,1.55,2.37,11,0.2727272727272727,0.18181818181818182,0.5454545454545454,1.6363636363636365,2.0,1.0,1.4236363636363636,1.2054545454545453,1.8218181818181818,1.6836363636363636,-0.47818181818181815,12.34,12.76,7.7272727272727275,8.545454545454545,1.1227272727272728,11,0.9090909090909091,0.09090909090909091,0.0,3.090909090909091,0.9090909090909091,2.8181818181818183,2.523636363636364,2.3854545454545453,1.1745454545454546,1.1745454545454546,1.211818181818182,13.84,21.99,13.454545454545455,4.636363636363637,2.1163636363636367,c1b57f96-1488-5a04-af38-5feac1c5ca54
2,25/11/2023,Wolfsburg,RasenBallsport Leipzig,3.8,3.9,1.88,3.5,2.35,1.6,1.52,2.45,11,0.36363636363636365,0.09090909090909091,0.5454545454545454,1.3636363636363635,1.8181818181818181,1.1818181818181819,1.5045454545454546,1.3545454545454545,1.7118181818181817,1.6427272727272728,-0.28818181818181815,13.52,14.24,7.0,6.636363636363637,1.240909090909091,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,2.5454545454545454,0.9090909090909091,2.090909090909091,1.7754545454545456,1.5,1.1645454545454546,1.0263636363636364,0.47363636363636363,12.23,15.88,5.454545454545454,3.4545454545454546,1.739090909090909,7236c3a5-4b19-5371-b581-64285177f2c6
3,25/11/2023,Freiburg,Darmstadt,1.62,4.2,5.2,2.5,1.7,2.18,1.72,2.05,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,1.2727272727272727,2.0,1.2727272727272727,1.5190909090909093,1.3118181818181818,1.7072727272727273,1.5690909090909093,-0.25727272727272726,17.32,13.55,4.454545454545454,9.545454545454545,1.280909090909091,11,0.18181818181818182,0.18181818181818182,0.6363636363636364,1.2727272727272727,2.909090909090909,0.7272727272727273,1.2654545454545454,1.059090909090909,2.3163636363636364,2.247272727272727,-1.1890909090909092,13.03,11.0,4.7272727272727275,8.636363636363637,0.9545454545454546,df1a1edd-0c1b-5ab8-8ec6-20dea6374fad
4,25/11/2023,Borussia Dortmund,Borussia M.Gladbach,1.47,5.2,5.6,3.5,1.9,1.91,1.5,2.47,11,0.5454545454545454,0.2727272727272727,0.18181818181818182,1.9090909090909092,1.5454545454545454,1.9090909090909092,2.002727272727273,1.9336363636363636,1.8845454545454545,1.458181818181818,0.4754545454545455,12.0,14.6,7.7272727272727275,7.181818181818182,1.531818181818182,11,0.2727272727272727,0.36363636363636365,0.36363636363636365,2.090909090909091,2.090909090909091,1.1818181818181819,1.7672727272727273,1.56,1.8545454545454545,1.5781818181818181,-0.018181818181818184,16.83,11.88,6.090909090909091,9.272727272727273,1.3527272727272728,168cb805-c5a1-536a-b001-d67162e3d8dc
5,25/11/2023,Eintracht Frankfurt,VfB Stuttgart,2.62,3.6,2.57,2.5,1.72,2.15,1.57,2.3,11,0.36363636363636365,0.5454545454545454,0.09090909090909091,1.5454545454545454,1.0,1.6363636363636365,1.5909090909090908,1.4527272727272729,1.43,1.1409090909090909,0.3118181818181818,13.57,13.15,8.0,7.090909090909091,1.528181818181818,11,0.7272727272727273,0.0,0.2727272727272727,2.6363636363636362,1.2727272727272727,2.1818181818181817,2.658181818181818,2.300909090909091,1.04,0.9709090909090908,1.33,12.59,16.51,9.727272727272727,3.909090909090909,2.3372727272727274,e0fd19b1-2f9d-5482-80b7-2fbc4894507b
6,26/11/2023,Hoffenheim,Mainz 05,2.02,3.8,3.45,2.5,1.6,2.37,1.52,2.42,11,0.5454545454545454,0.09090909090909091,0.36363636363636365,2.090909090909091,1.8181818181818181,1.7272727272727273,1.6245454545454547,1.3481818181818181,1.8372727272727274,1.6990909090909092,-0.3509090909090909,13.71,13.85,5.545454545454546,8.363636363636363,1.27,11,0.09090909090909091,0.36363636363636365,0.5454545454545454,1.0,2.1818181818181817,0.6363636363636364,1.038181818181818,0.9,1.6363636363636365,1.4981818181818183,-0.5981818181818181,11.64,10.57,6.181818181818182,6.7272727272727275,0.9772727272727273,69822cd1-a2d5-5f6a-a2ea-3d9957e85104
7,01/12/2023,Darmstadt,FC Cologne,2.75,3.55,2.47,2.5,1.7,2.18,1.55,2.35,11,0.18181818181818182,0.18181818181818182,0.6363636363636364,1.2727272727272727,2.909090909090909,0.7272727272727273,1.2654545454545454,1.059090909090909,2.3163636363636364,2.247272727272727,-1.1890909090909092,13.03,11.0,4.7272727272727275,8.636363636363637,0.9545454545454546,11,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.8181818181818182,2.090909090909091,0.5454545454545454,1.440909090909091,1.2345454545454546,2.419090909090909,2.35,-1.1154545454545455,13.99,11.37,5.7272727272727275,9.090909090909092,0.9445454545454546,2f6a569a-6c72-5576-baff-4f13145025f5
8,02/12/2023,Borussia M.Gladbach,Hoffenheim,2.25,3.7,3.0,3.5,2.35,1.6,1.47,2.55,11,0.2727272727272727,0.36363636363636365,0.36363636363636365,2.090909090909091,2.090909090909091,1.1818181818181819,1.7672727272727273,1.56,1.8545454545454545,1.5781818181818181,-0.018181818181818184,16.83,11.88,6.090909090909091,9.272727272727273,1.3527272727272728,11,0.5454545454545454,0.09090909090909091,0.36363636363636365,2.090909090909091,1.8181818181818181,1.7272727272727273,1.6245454545454547,1.3481818181818181,1.8372727272727274,1.6990909090909092,-0.3509090909090909,13.71,13.85,5.545454545454546,8.363636363636363,1.27,aebded94-b521-52e7-8b47-980f3f505213
9,02/12/2023,RasenBallsport Leipzig,FC Heidenheim,1.32,5.5,9.25,3.5,2.1,1.75,1.75,2.02,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,2.5454545454545454,0.9090909090909091,2.090909090909091,1.7754545454545456,1.5,1.1645454545454546,1.0263636363636364,0.47363636363636363,12.23,15.88,5.454545454545454,3.4545454545454546,1.739090909090909,11,0.2727272727272727,0.09090909090909091,0.6363636363636364,1.5454545454545454,2.3636363636363638,0.9090909090909091,1.2736363636363637,1.0672727272727274,2.567272727272727,2.0736363636363637,-1.0063636363636363,16.61,11.57,4.454545454545454,10.0,0.5909090909090909,b8ebf1c1-f3f9-5d29-8f46-802e76faf8f0
