Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
13/08/2022,AC Milan,Udinese,4-2,1.44,4.75,7.0,1.72,2.1,AC Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/2022,Sampdoria,Atalanta,0-2,4.33,3.9,1.75,1.72,2.1,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/2022,Lecce,Inter,1-2,10.0,5.75,1.28,1.57,2.37,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/2022,Monza,Torino,1-2,2.6,3.3,2.75,2.1,1.72,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2022,Fiorentina,Cremonese,3-2,1.36,5.0,8.5,1.66,2.2,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cremonese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2022,Lazio,Bologna,2-1,1.57,4.33,5.75,1.66,2.2,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2022,Salernitana,Roma,0-1,6.5,4.75,1.44,1.72,2.1,Salernitana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2022,Spezia,Empoli,1-0,2.45,3.3,2.9,1.94,1.96,Spezia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/2022,Verona,Napoli,2-5,3.5,3.5,2.05,1.8,2.0,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/2022,Juventus,Sassuolo,3-0,1.44,4.75,7.0,1.53,2.5,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2022,Torino,Lazio,0-0,3.0,3.5,2.3,1.92,1.98,Torino,1,1,0,0,2,1,3,3.14,3.14,1.03,1.03,2.11,11.76,11.21,7,2,2.71,Lazio,1,1,0,0,2,1,3,0.71,0.71,1.6,0.84,-0.13,9.97,7.08,5,5,0.56
20/08/2022,Udinese,Salernitana,0-0,1.75,3.8,4.5,1.8,2.0,Udinese,1,0,0,1,2,4,0,0.44,0.44,2.68,1.92,-1.48,12.58,8.67,6,5,0.11,Salernitana,1,0,0,1,0,1,0,0.51,0.51,2.98,2.98,-2.48,9.07,12.67,3,10,0.14
20/08/2022,Inter,Spezia,3-0,1.16,8.0,15.0,1.3,3.5,Inter,1,1,0,0,2,1,3,2.53,2.53,0.75,0.75,1.78,5.71,17.25,13,2,2.62,Spezia,1,1,0,0,1,0,3,0.86,0.86,0.99,0.99,-0.13,7.66,11.41,5,5,1.24
20/08/2022,Sassuolo,Lecce,1-0,1.75,4.0,4.2,1.61,2.3,Sassuolo,1,0,0,1,0,3,0,0.88,0.88,2.24,1.48,-0.6,15.88,20.62,4,5,0.44,Lecce,1,0,0,1,1,2,0,0.75,0.75,2.53,2.53,-1.78,17.25,5.71,2,13,0.26
21/08/2022,Empoli,Fiorentina,0-0,3.75,3.8,1.9,1.66,2.2,Empoli,1,0,0,1,0,1,0,0.99,0.99,0.86,0.86,0.13,11.41,7.66,5,5,1.43,Fiorentina,1,1,0,0,3,2,3,2.01,2.01,1.77,1.77,0.25,5.35,14.17,14,6,1.53
21/08/2022,Napoli,Monza,4-0,1.33,5.5,8.0,1.5,2.62,Napoli,1,1,0,0,5,2,3,2.8,2.8,1.13,1.13,1.67,8.5,12.54,17,3,2.42,Monza,1,0,0,1,1,2,0,1.03,1.03,3.14,3.14,-2.11,11.21,11.76,2,7,0.19
21/08/2022,Atalanta,AC Milan,1-1,2.75,3.5,2.5,1.72,2.1,Atalanta,1,1,0,0,2,0,3,2.29,2.29,0.62,0.62,1.67,7.25,9.35,9,8,2.68,AC Milan,1,1,0,0,4,2,3,2.68,1.92,0.44,0.44,1.48,8.67,12.58,5,6,2.82
21/08/2022,Bologna,Verona,1-1,2.15,3.5,3.3,1.85,2.05,Bologna,1,0,0,1,1,2,0,1.6,0.84,0.71,0.71,0.13,7.08,9.97,5,5,2.16,Verona,1,0,0,1,2,5,0,1.13,1.13,2.8,2.8,-1.67,12.54,8.5,3,17,0.42
22/08/2022,Roma,Cremonese,1-0,1.25,6.5,11.0,1.61,2.3,Roma,1,1,0,0,1,0,3,2.98,2.98,0.51,0.51,2.48,12.67,9.07,10,3,2.79,Cremonese,1,0,0,1,2,3,0,1.77,1.77,2.01,2.01,-0.25,14.17,5.35,6,14,1.22
22/08/2022,Sampdoria,Juventus,0-0,5.75,4.0,1.6,1.89,2.01,Sampdoria,1,0,0,1,0,2,0,0.62,0.62,2.29,2.29,-1.67,9.35,7.25,8,9,0.21,Juventus,1,1,0,0,3,0,3,2.24,1.48,0.88,0.88,0.6,20.62,15.88,5,4,2.37
26/08/2022,Monza,Udinese,1-2,3.1,3.4,2.3,1.88,2.02,Monza,2,0,0,2,1,6,0,1.15,1.15,6.4,6.4,-5.25,12.47,11.73,3,18,0.23,Udinese,2,0,1,1,2,4,1,1.87,1.87,4.18,3.42,-1.55,14.05,7.8,15,13,1.38
26/08/2022,Lazio,Inter,3-1,4.0,3.8,1.83,1.66,2.2,Lazio,2,1,1,0,2,1,4,1.42,1.42,2.59,1.83,-0.41,12.58,10.51,13,7,1.56,Inter,2,2,0,0,5,1,6,5.16,5.16,1.24,1.24,3.92,8.25,23.55,30,5,5.36
