Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
11/08/2023,Burnley,Manchester City,0-3,8.0,5.5,1.33,1.67,2.2,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2023,Arsenal,Nottingham Forest,2-1,1.18,7.0,15.0,1.44,2.75,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nottingham Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2023,Bournemouth,West Ham,1-1,2.7,3.4,2.55,1.9,2.0,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2023,Brighton,Luton,4-1,1.33,5.5,9.0,1.62,2.3,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2023,Everton,Fulham,0-1,2.2,3.4,3.3,2.01,1.89,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2023,Sheffield United,Crystal Palace,0-1,3.0,3.3,2.38,2.2,1.67,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2023,Newcastle United,Aston Villa,5-1,1.75,3.75,4.6,1.73,2.1,Newcastle United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/2023,Brentford,Tottenham,2-2,2.75,3.4,2.45,1.73,2.1,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/2023,Chelsea,Liverpool,1-1,2.9,3.4,2.38,1.67,2.2,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2023,Manchester United,Wolverhampton Wanderers,1-0,1.33,5.5,9.0,1.62,2.3,Manchester United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2023,Nottingham Forest,Sheffield United,2-1,1.95,3.4,4.0,2.2,1.67,Nottingham Forest,1,0,0,1,1,2,0,0.97,0.97,0.84,0.84,0.12,44.1,4.0,4,9,1.49,Sheffield United,1,0,0,1,0,1,0,0.42,0.42,2.28,2.28,-1.85,14.18,4.39,2,9,0.23
19/08/2023,Fulham,Brentford,0-3,2.7,3.3,2.63,1.96,1.94,Fulham,1,1,0,0,1,0,3,1.58,1.58,2.59,2.59,-1.01,17.4,14.83,6,7,0.69,Brentford,1,0,1,0,2,2,1,1.91,1.15,1.45,1.45,-0.31,14.1,5.87,11,7,1.76
19/08/2023,Liverpool,Bournemouth,3-1,1.2,7.0,13.0,1.33,3.4,Liverpool,1,0,1,0,1,1,1,1.3,1.3,1.93,1.93,-0.63,20.05,8.95,9,11,0.91,Bournemouth,1,0,1,0,1,1,1,1.51,1.51,1.48,1.48,0.03,5.11,9.73,9,8,1.38
19/08/2023,Wolverhampton Wanderers,Brighton,1-4,4.0,3.8,1.85,1.73,2.1,Wolverhampton Wanderers,1,0,0,1,0,1,0,1.72,1.72,1.97,1.97,-0.25,13.5,7.28,12,16,1.17,Brighton,1,1,0,0,4,1,3,4.37,3.61,1.89,1.12,2.48,6.88,23.06,17,5,2.72
19/08/2023,Tottenham,Manchester United,2-0,2.8,3.6,2.38,1.57,2.38,Tottenham,1,0,1,0,2,2,1,1.45,1.45,1.91,1.15,0.31,5.87,14.1,7,11,0.98,Manchester United,1,1,0,0,1,0,3,1.97,1.97,1.72,1.72,0.25,7.28,13.5,16,12,1.58
19/08/2023,Manchester City,Newcastle United,1-0,1.67,4.0,5.0,1.73,2.1,Manchester City,1,1,0,0,3,0,3,2.4,2.4,0.31,0.31,2.09,15.8,33.07,9,4,2.78,Newcastle United,1,1,0,0,5,1,3,4.32,4.32,1.49,1.49,2.84,15.0,11.57,9,6,2.76
20/08/2023,Aston Villa,Everton,4-0,1.7,4.0,4.5,1.92,1.98,Aston Villa,1,0,0,1,1,5,0,1.49,1.49,4.32,4.32,-2.84,11.57,15.0,6,9,0.17,Everton,1,0,0,1,0,1,0,2.59,2.59,1.58,1.58,1.01,14.83,17.4,7,6,2.11
20/08/2023,West Ham,Chelsea,3-1,3.75,3.5,2.0,1.96,1.94,West Ham,1,0,1,0,1,1,1,1.48,1.48,1.51,1.51,-0.03,9.73,5.11,8,9,1.3,Chelsea,1,0,1,0,1,1,1,1.93,1.93,1.3,1.3,0.63,8.95,20.05,11,9,1.84
21/08/2023,Crystal Palace,Arsenal,0-1,5.5,4.0,1.6,1.94,1.96,Crystal Palace,1,1,0,0,1,0,3,2.28,2.28,0.42,0.42,1.85,4.39,14.18,9,2,2.66,Arsenal,1,1,0,0,2,1,3,0.84,0.84,0.97,0.97,-0.12,4.0,44.1,9,4,1.18
25/08/2023,Chelsea,Luton,3-0,1.29,5.5,11.0,1.67,2.2,Chelsea,2,0,1,1,2,4,1,3.54,2.78,3.01,2.25,0.53,6.98,22.71,20,12,3.08,Luton,1,0,0,1,1,4,0,1.89,1.12,4.37,3.61,-2.48,23.06,6.88,5,17,0.19
26/08/2023,Bournemouth,Tottenham,0-2,3.8,3.75,1.91,1.53,2.5,Bournemouth,2,0,1,1,2,4,1,2.9,2.9,4.74,3.82,-0.92,8.37,8.66,17,19,1.71,Tottenham,2,1,1,0,4,2,4,3.99,3.99,4.35,3.59,0.4,7.43,13.22,19,23,2.46
26/08/2023,Arsenal,Fulham,2-2,1.2,7.0,13.0,1.44,2.75,Arsenal,2,2,0,0,3,1,6,3.05,2.29,2.04,2.04,0.25,6.38,25.81,16,14,3.4,Fulham,2,1,0,1,1,3,3,1.98,1.98,6.06,5.3,-3.32,12.58,13.9,14,20,0.73
26/08/2023,Brentford,Crystal Palace,1-1,2.15,3.4,3.5,2.1,1.73,Brentford,2,1,1,0,5,2,4,5.38,3.85,1.85,1.85,2.0,13.46,7.83,24,15,4.68,Crystal Palace,2,1,0,1,1,1,3,3.35,3.35,2.63,1.87,1.48,8.49,12.0,19,9,3.24
26/08/2023,Everton,Wolverhampton Wanderers,0-1,2.3,3.3,3.2,2.1,1.73,Everton,2,0,0,2,0,5,0,3.31,3.31,4.82,4.06,-0.75,15.78,17.18,9,19,2.24,Wolverhampton Wanderers,2,0,0,2,1,5,0,4.41,4.41,5.13,5.13,-0.72,13.57,7.4,18,30,2.29
26/08/2023,Manchester United,Nottingham Forest,3-2,1.3,6.0,8.0,1.5,2.63,Manchester United,2,1,0,1,1,2,3,4.42,4.42,4.26,4.26,0.16,9.58,11.58,28,24,2.89,Nottingham Forest,2,1,0,1,3,3,3,2.34,2.34,1.39,1.39,0.94,27.16,7.52,10,13,3.56
26/08/2023,Brighton,West Ham,1-3,1.53,4.75,5.25,1.5,2.63,Brighton,2,2,0,0,8,2,6,7.52,6.76,4.57,3.81,2.95,7.31,17.4,31,11,4.4,West Ham,2,1,1,0,4,2,4,3.2,2.43,3.12,2.36,0.08,14.95,5.18,11,18,2.77
27/08/2023,Burnley,Aston Villa,1-3,3.4,3.4,2.15,1.86,2.04,Burnley,1,0,0,1,0,3,0,0.31,0.31,2.4,2.4,-2.09,33.07,15.8,4,9,0.14,Aston Villa,2,1,0,1,5,5,3,4.73,3.97,5.04,5.04,-1.08,13.2,16.0,19,11,2.98
27/08/2023,Sheffield United,Manchester City,1-2,13.0,8.0,1.17,1.57,2.38,Sheffield United,2,0,0,2,1,3,0,0.97,0.97,3.65,3.65,-2.67,13.41,8.92,6,15,0.88,Manchester City,2,2,0,0,4,0,6,3.63,3.63,0.57,0.57,3.06,14.53,21.51,18,9,5.0
27/08/2023,Newcastle United,Liverpool,1-2,2.2,3.75,3.0,1.5,2.63,Newcastle United,2,1,0,1,5,2,3,4.58,4.58,2.71,2.71,1.87,15.32,12.45,14,15,3.26,Liverpool,2,1,1,0,4,2,4,4.55,3.63,3.32,3.32,0.31,13.36,10.31,20,19,3.45
01/09/2023,Luton,West Ham,1-2,4.75,3.8,1.73,1.87,2.03,Luton,2,0,0,2,1,7,0,2.35,1.59,7.78,7.02,-5.43,20.74,7.0,9,34,0.27,West Ham,3,2,1,0,7,3,7,6.15,5.39,4.49,3.73,1.65,17.47,4.77,18,41,5.19
02/09/2023,Sheffield United,Everton,2-2,2.9,3.25,2.5,2.2,1.67,Sheffield United,3,0,0,3,2,5,0,1.74,1.74,7.5,6.73,-5.0,18.38,8.29,9,37,0.95,Everton,3,0,0,3,0,6,0,5.21,5.21,6.23,5.47,-0.26,14.84,13.95,16,23,3.97
02/09/2023,Brentford,Bournemouth,2-2,1.73,3.8,4.75,1.73,2.1,Brentford,3,1,2,0,6,3,5,6.32,4.8,2.91,2.91,1.89,10.7,9.38,29,20,5.94,Bournemouth,3,0,1,2,2,6,1,3.38,3.38,7.0,6.08,-2.7,9.0,8.34,23,39,1.97
02/09/2023,Burnley,Tottenham,2-5,3.6,4.0,1.85,1.62,2.3,Burnley,2,0,0,2,1,6,0,0.94,0.94,5.24,5.24,-4.3,15.93,20.07,12,18,0.29,Tottenham,3,2,1,0,6,2,7,6.25,6.25,4.84,4.08,2.18,7.52,11.99,39,29,5.07
