Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
21/08/2021,Monaco,Lens,0-2,1.7,3.75,4.75,1.8,2.0,Monaco,2,0,1,1,1,2,1,2.63,2.63,1.02,0.26,2.38,3.0,18.38,22,5,3.86,Lens,2,0,2,0,3,3,2,3.28,3.28,1.45,1.45,1.83,9.48,8.5,7,12,4.1
21/08/2021,Saint-Etienne,Lille,1-1,3.1,3.2,2.4,2.1,1.72,Saint-Etienne,2,0,2,0,3,3,2,2.71,1.95,1.98,1.98,-0.03,8.75,8.35,10,12,3.33,Lille,2,0,1,1,3,7,1,2.39,2.39,3.36,2.6,-0.21,8.82,15.72,14,4,2.14
22/08/2021,Lyon,Clermont Foot,3-3,1.55,4.5,5.25,1.66,2.2,Lyon,2,0,1,1,1,4,1,2.15,2.15,2.66,2.66,-0.51,6.7,17.91,8,12,2.28,Clermont Foot,2,2,0,0,4,0,6,4.4,4.4,1.21,1.21,3.19,13.61,16.87,13,2,4.74
22/08/2021,Bordeaux,Angers,1-1,2.87,3.2,2.62,2.1,1.72,Bordeaux,2,0,1,1,2,4,1,0.83,0.83,4.01,4.01,-3.18,13.58,15.03,3,15,0.73,Angers,2,2,0,0,5,0,6,3.06,3.06,1.24,1.24,1.81,11.3,6.85,10,4,4.38
22/08/2021,Metz,Reims,1-1,2.25,3.2,3.4,2.3,1.61,Metz,2,0,1,1,3,5,1,1.91,1.91,3.34,3.34,-1.44,9.34,11.02,5,15,1.59,Reims,2,0,2,0,3,3,2,1.47,1.47,3.1,3.1,-1.63,12.65,8.79,15,9,1.24
22/08/2021,Montpellier,Lorient,3-1,2.1,3.4,3.5,1.8,2.0,Montpellier,2,0,1,1,5,6,1,2.76,2.76,3.47,3.47,-0.7,12.39,9.61,7,24,2.41,Lorient,2,1,1,0,2,1,4,1.62,0.86,2.72,1.96,-1.11,12.9,4.28,10,12,1.88
22/08/2021,Strasbourg,Troyes,1-1,2.0,3.4,3.75,2.1,1.72,Strasbourg,2,0,0,2,2,6,0,0.84,0.84,4.32,4.32,-3.48,13.24,11.9,8,8,0.44,Troyes,2,0,0,2,1,4,0,1.31,1.31,2.93,2.93,-1.62,42.0,11.83,7,19,1.41
22/08/2021,Rennes,Nantes,1-0,1.85,3.6,4.2,2.0,1.8,Rennes,2,0,2,0,2,2,2,1.92,1.92,4.44,4.44,-2.52,6.85,18.33,13,4,0.97,Nantes,2,1,1,0,3,1,4,1.96,1.96,2.65,2.65,-0.69,18.5,4.73,9,15,2.33
27/08/2021,Nantes,Lyon,0-1,4.5,4.0,1.66,1.72,2.1,Nantes,3,1,1,1,3,2,4,2.23,2.23,3.52,3.52,-1.3,18.63,5.84,13,22,3.01,Lyon,3,0,2,1,4,7,2,5.47,4.71,4.48,4.48,0.23,7.45,16.9,18,15,4.56
28/08/2021,Nice,Bordeaux,4-0,1.6,4.2,5.25,1.9,1.9,Nice,2,1,1,0,4,0,4,3.44,2.68,0.93,0.93,1.75,11.52,13.33,5,10,4.8,Bordeaux,3,0,2,1,3,5,2,1.43,1.43,5.02,5.02,-3.59,10.95,17.37,9,16,1.63
28/08/2021,Marseille,Saint-Etienne,3-1,1.7,3.8,4.75,1.9,1.9,Marseille,2,1,1,0,5,4,4,3.21,3.21,1.08,1.08,2.13,13.12,15.37,22,4,4.43,Saint-Etienne,3,0,3,0,4,4,3,3.19,2.43,3.18,3.18,-0.75,8.56,9.15,12,20,4.0
29/08/2021,Troyes,Monaco,1-2,4.33,3.6,1.83,1.9,1.9,Troyes,3,0,1,2,2,5,1,2.46,2.46,5.88,5.88,-3.43,28.45,10.08,8,28,1.75,Monaco,3,0,1,2,1,4,1,2.88,2.88,1.62,0.86,2.02,3.67,16.55,34,7,4.65
29/08/2021,Angers,Rennes,2-0,2.9,3.25,2.5,2.2,1.66,Angers,3,2,1,0,6,1,7,4.07,4.07,1.85,1.85,2.22,13.77,7.06,11,10,6.15,Rennes,3,1,2,0,3,2,5,2.79,2.79,4.7,4.7,-1.91,7.43,18.53,20,8,2.92
29/08/2021,Clermont Foot,Metz,2-2,1.72,3.75,4.75,2.1,1.72,Clermont Foot,3,2,1,0,7,3,7,6.22,6.22,4.53,3.77,2.46,14.03,13.38,16,12,5.3,Metz,3,0,2,1,4,6,2,2.58,2.58,4.53,4.53,-1.95,9.0,11.76,6,23,2.49
29/08/2021,Lens,Lorient,2-2,1.75,3.6,5.0,1.9,1.9,Lens,3,1,2,0,5,3,5,3.88,3.88,1.69,1.69,2.19,10.61,7.85,9,24,5.84,Lorient,3,1,1,1,3,4,4,2.08,1.32,6.37,5.61,-4.29,14.59,5.62,14,20,1.94
29/08/2021,Strasbourg,Brest,3-1,2.0,3.3,4.0,1.8,2.0,Strasbourg,3,0,1,2,3,7,1,3.79,3.79,5.46,5.46,-1.67,11.06,13.31,17,9,2.97,Brest,3,0,2,1,4,6,2,4.57,4.57,4.01,4.01,0.56,27.67,7.37,12,29,4.5
29/08/2021,Lille,Montpellier,2-1,1.66,4.0,5.0,1.72,2.1,Lille,3,0,2,1,4,8,2,3.59,3.59,3.83,3.07,0.51,9.7,12.64,22,6,4.17,Montpellier,3,1,1,1,8,7,4,6.41,6.41,3.93,3.93,2.49,11.44,12.48,15,28,5.32
29/08/2021,Reims,Paris Saint Germain,0-2,17.0,8.0,1.14,1.36,3.2,Reims,3,0,3,0,4,4,3,2.65,2.65,3.77,3.77,-1.12,12.91,8.61,23,10,3.03,Paris Saint Germain,3,3,0,0,10,5,9,5.9,5.9,2.44,2.44,3.46,10.51,29.6,31,16,6.53
10/09/2021,Lorient,Lille,2-1,3.4,3.4,2.15,2.1,1.72,Lorient,4,1,2,1,5,6,5,3.29,2.53,7.51,6.75,-4.22,13.54,6.56,16,27,3.38,Lille,4,1,2,1,6,9,5,6.05,6.05,4.55,3.79,2.26,9.65,11.68,28,9,6.75
11/09/2021,Paris Saint Germain,Clermont Foot,4-0,1.25,6.5,10.0,1.44,2.75,Paris Saint Germain,4,4,0,0,12,5,12,7.73,7.73,3.26,3.26,4.46,8.81,24.4,40,18,8.71,Clermont Foot,4,2,2,0,9,5,8,7.87,7.87,6.43,4.91,2.96,13.58,12.44,29,14,6.45
11/09/2021,Monaco,Marseille,0-2,2.0,3.6,3.6,1.85,2.0,Monaco,4,1,1,2,3,5,4,4.62,4.62,2.21,1.45,3.17,4.63,13.71,40,11,7.01,Marseille,3,2,1,0,8,5,7,5.95,5.95,2.31,2.31,3.64,11.57,14.11,28,12,6.78
12/09/2021,Montpellier,Saint-Etienne,2-0,2.55,3.5,2.7,1.8,2.0,Montpellier,4,1,1,2,9,9,4,7.13,7.13,6.39,6.39,0.74,10.69,11.57,18,34,5.6,Saint-Etienne,4,0,3,1,5,7,3,4.41,3.65,5.91,5.91,-2.26,9.66,9.16,20,26,4.48
12/09/2021,Bordeaux,Lens,2-3,3.3,3.5,2.15,2.0,1.8,Bordeaux,4,0,2,2,3,9,2,2.3,2.3,7.55,6.79,-4.49,11.5,13.93,12,21,1.95,Lens,4,1,3,0,7,5,6,5.02,5.02,2.91,2.91,2.11,10.57,8.5,16,26,7.11
12/09/2021,Brest,Angers,1-1,2.6,3.4,2.7,2.0,1.8,Brest,4,0,2,2,5,9,2,5.16,5.16,5.24,5.24,-0.08,23.17,8.87,21,36,5.17,Angers,4,3,1,0,8,1,10,6.7,6.7,3.13,3.13,3.57,14.22,9.11,20,18,8.48
12/09/2021,Metz,Troyes,0-2,2.25,3.3,3.25,2.2,1.66,Metz,4,0,3,1,6,8,3,4.48,3.72,6.17,6.17,-2.45,9.36,11.77,8,36,4.08,Troyes,4,0,1,3,3,7,1,3.05,3.05,7.62,7.62,-4.58,18.82,9.33,12,34,2.19
12/09/2021,Rennes,Reims,0-2,1.65,3.75,5.75,2.1,1.72,Rennes,4,1,2,1,3,4,5,4.08,4.08,7.33,7.33,-3.25,10.31,17.86,28,17,3.4,Reims,4,0,3,1,4,6,3,3.48,3.48,5.59,5.59,-2.12,13.85,7.68,25,19,3.62
12/09/2021,Nantes,Nice,0-2,3.3,3.4,2.2,2.1,1.72,Nantes,4,1,1,2,3,3,4,3.58,3.58,4.97,4.97,-1.39,18.74,5.97,19,25,4.31,Nice,3,2,1,0,8,0,7,5.96,4.44,1.79,1.79,2.65,10.57,13.78,10,13,7.35
12/09/2021,Lyon,Strasbourg,3-1,1.53,4.5,5.75,1.57,2.37,Lyon,4,1,2,1,5,7,5,6.91,6.15,5.84,5.84,0.32,7.24,17.4,21,21,5.99,Strasbourg,4,1,1,2,6,8,4,5.02,5.02,6.05,6.05,-1.04,11.53,13.2,24,18,5.01
17/09/2021,Strasbourg,Metz,3-0,1.85,3.6,4.2,2.1,1.72,Strasbourg,5,1,1,3,7,11,4,7.06,6.3,7.75,7.75,-1.45,12.26,13.13,28,26,6.66,Metz,5,0,3,2,6,10,3,5.26,4.5,7.04,7.04,-2.54,8.69,12.84,12,39,5.32
