Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
18/08/2023,Werder Bremen,Bayern Munich,0-4,7.5,6.5,1.3,1.33,3.4,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2023,Augsburg,Borussia M.Gladbach,4-4,2.7,3.6,2.45,1.62,2.3,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2023,Hoffenheim,Freiburg,1-2,2.3,3.6,2.9,1.67,2.2,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2023,Bayer Leverkusen,RasenBallsport Leipzig,3-2,2.45,3.6,2.75,1.67,2.2,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2023,VfB Stuttgart,Bochum,5-0,1.65,4.33,4.5,1.62,2.3,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bochum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2023,Wolfsburg,FC Heidenheim,2-0,1.6,4.2,5.25,1.62,2.3,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FC Heidenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2023,Borussia Dortmund,FC Cologne,1-0,1.4,5.0,7.0,1.44,2.75,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FC Cologne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2023,Union Berlin,Mainz 05,4-1,1.95,3.5,3.9,2.1,1.73,Union Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2023,Eintracht Frankfurt,Darmstadt,1-0,1.36,5.25,7.5,1.67,2.2,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darmstadt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2023,RasenBallsport Leipzig,VfB Stuttgart,5-1,1.5,4.75,5.75,1.53,2.5,RasenBallsport Leipzig,1,0,0,1,2,3,0,1.6,1.6,1.73,1.73,-0.13,12.11,14.33,4,5,1.25,VfB Stuttgart,1,1,0,0,5,0,3,3.99,3.99,0.67,0.67,3.32,24.2,18.24,12,1,2.91
26/08/2023,Bochum,Borussia Dortmund,1-1,7.0,5.0,1.4,1.36,3.2,Bochum,1,0,0,1,0,5,0,0.67,0.67,3.99,3.99,-3.32,18.24,24.2,1,12,0.05,Borussia Dortmund,1,1,0,0,1,0,3,1.72,1.72,1.51,1.51,0.21,8.27,19.61,5,8,1.55
