Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
05/08/2022,Eintracht Frankfurt,Bayern Munich,1-6,6.0,5.0,1.5,1.4,3.0,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,Augsburg,Freiburg,0-4,3.3,3.5,2.15,1.92,1.98,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,Bochum,Mainz 05,1-2,3.2,3.4,2.2,1.96,1.94,Bochum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,Borussia M.Gladbach,Hoffenheim,3-1,2.05,4.2,3.0,1.36,3.2,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,Union Berlin,Hertha Berlin,3-1,1.72,3.75,4.5,2.06,1.84,Union Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hertha Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,Wolfsburg,Werder Bremen,2-2,1.85,3.8,3.8,1.8,2.0,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2022,Borussia Dortmund,Bayer Leverkusen,1-0,2.0,4.2,3.2,1.4,3.0,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2022,VfB Stuttgart,RasenBallsport Leipzig,1-1,4.5,3.8,1.75,1.72,2.1,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2022,FC Cologne,Schalke 04,3-1,1.7,4.0,4.5,1.57,2.37,FC Cologne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2022,Freiburg,Borussia Dortmund,1-3,3.0,3.75,2.2,1.57,2.37,Freiburg,1,1,0,0,4,0,3,1.54,1.54,0.59,0.59,0.96,9.92,6.67,6,6,2.13,Borussia Dortmund,1,1,0,0,1,0,3,2.38,2.38,1.24,1.24,1.15,9.1,9.0,8,2,2.27
