Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
24/08/2018,Bayern Munich,Hoffenheim,3-1,1.2,7.5,12.0,1.4,3.55,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Fortuna Duesseldorf,Augsburg,1-2,2.37,3.25,3.0,2.05,1.76,Fortuna Duesseldorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Freiburg,Eintracht Frankfurt,0-2,2.3,3.3,3.25,2.15,1.69,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Hertha Berlin,Nuernberg,1-0,2.04,3.4,3.75,2.05,1.76,Hertha Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuernberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Borussia M.Gladbach,Bayer Leverkusen,2-0,2.8,3.5,2.45,1.6,2.32,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Werder Bremen,Hannover 96,1-1,1.85,3.6,4.0,1.71,2.12,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hannover 96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Wolfsburg,Schalke 04,2-1,3.1,3.3,2.37,2.17,1.68,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/08/2018,Borussia Dortmund,RasenBallsport Leipzig,4-1,1.72,3.8,4.75,1.53,2.46,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/08/2018,Mainz 05,VfB Stuttgart,1-0,2.7,3.25,2.7,2.12,1.71,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2018,Hannover 96,Borussia Dortmund,0-0,5.5,4.33,1.57,1.56,2.4,Hannover 96,1,0,1,0,1,1,1,0.84,0.84,1.91,1.91,-1.07,11.96,11.28,4,7,0.59,Borussia Dortmund,1,1,0,0,4,1,3,1.96,1.96,1.46,1.46,0.5,10.95,7.6,4,4,1.74
01/09/2018,Augsburg,Borussia M.Gladbach,1-1,2.62,3.4,2.7,1.88,1.92,Augsburg,1,1,0,0,2,1,3,0.76,0.76,1.33,1.33,-0.57,11.04,9.44,4,5,0.84,Borussia M.Gladbach,1,1,0,0,2,0,3,3.34,1.83,1.06,1.06,0.77,13.17,17.62,10,6,2.7
01/09/2018,Eintracht Frankfurt,Werder Bremen,1-2,2.4,3.5,2.9,1.86,1.94,Eintracht Frankfurt,1,1,0,0,2,0,3,0.81,0.81,1.47,1.47,-0.65,15.87,9.42,2,13,0.84,Werder Bremen,1,0,1,0,1,1,1,1.91,1.91,0.84,0.84,1.07,11.28,11.96,7,4,2.2
01/09/2018,Hoffenheim,Freiburg,3-1,1.55,4.0,6.5,1.66,2.22,Hoffenheim,1,0,0,1,1,3,0,0.7,0.7,3.09,2.33,-1.63,13.33,9.41,3,11,0.14,Freiburg,1,0,0,1,0,2,0,1.47,1.47,0.81,0.81,0.65,9.42,15.87,13,2,1.88
01/09/2018,Bayer Leverkusen,Wolfsburg,1-3,1.61,4.33,5.0,1.58,2.35,Bayer Leverkusen,1,0,0,1,0,2,0,1.06,1.06,3.34,1.83,-0.77,17.62,13.17,6,10,0.21,Wolfsburg,1,1,0,0,2,1,3,1.31,1.31,1.86,1.1,0.21,5.75,9.96,6,3,0.88
