,Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
13,26/08/2017,Bayer Leverkusen,Hoffenheim,2-2,2.05,3.6,3.6,1.6,2.34,1,0.0,0.0,1.0,1.0,3.0,0.0,1.89,1.89,2.78,2.02,-0.13,11.85,13.09,14.0,13.0,0.79,1,1.0,0.0,0.0,1.0,0.0,3.0,0.97,0.97,0.81,0.81,0.17,7.54,15.23,8.0,2.0,1.47,dc1d5928-7d21-5f59-9e2c-c7a80fd6337c
14,26/08/2017,VfB Stuttgart,Mainz 05,1-0,2.3,3.4,3.1,1.8,2.01,1,0.0,0.0,1.0,0.0,2.0,0.0,0.88,0.88,0.44,0.44,0.44,12.63,8.55,6.0,1.0,1.76,1,0.0,0.0,1.0,0.0,1.0,0.0,0.53,0.53,0.61,0.61,-0.08,4.91,14.91,6.0,1.0,1.16,4bae3251-bc3d-5113-9dcf-19307f10d296
15,26/08/2017,Werder Bremen,Bayern Munich,0-2,11.0,6.5,1.25,1.37,3.02,1,0.0,0.0,1.0,0.0,1.0,0.0,0.81,0.81,0.97,0.97,-0.17,15.23,7.54,2.0,8.0,1.17,1,1.0,0.0,0.0,3.0,1.0,3.0,2.78,2.02,1.89,1.89,0.13,13.09,11.85,13.0,14.0,2.01,df7974b4-85d3-5788-9495-31dbfee1effb
16,27/08/2017,Hannover 96,Schalke 04,1-0,3.3,3.4,2.2,1.86,1.95,1,1.0,0.0,0.0,1.0,0.0,3.0,0.61,0.61,0.53,0.53,0.08,14.91,4.91,1.0,6.0,1.41,1,1.0,0.0,0.0,2.0,0.0,3.0,1.91,1.15,0.79,0.79,0.36,9.56,4.48,3.0,5.0,2.31,73ee01d8-928d-5fe6-a975-48f2d5a0bd03
17,27/08/2017,RasenBallsport Leipzig,Freiburg,4-1,1.36,5.0,8.5,1.69,2.16,1,0.0,0.0,1.0,0.0,2.0,0.0,0.79,0.79,1.91,1.15,-0.36,4.48,9.56,5.0,3.0,0.48,1,0.0,1.0,0.0,0.0,0.0,1.0,0.23,0.23,1.54,1.54,-1.31,10.82,10.57,3.0,5.0,0.29,a91636c6-82ae-56c0-b6c4-2201d93476f8
18,08/09/2017,Hamburger SV,RasenBallsport Leipzig,0-2,4.0,3.6,1.91,1.86,1.96,2,1.0,0.0,0.0,2.0,0.5,3.0,1.1,1.1,1.23,1.23,-0.13,14.37,5.86,4.0,10.5,1.225,2,0.5,0.0,0.5,2.0,1.5,1.5,1.82,1.82,1.185,0.805,1.015,4.94,10.38,9.5,4.0,1.605,1d42447d-31f6-543d-92e9-40cc1b38294f
19,09/09/2017,Augsburg,FC Cologne,3-0,2.38,3.3,3.1,2.15,1.7,2,0.0,0.5,0.5,1.0,1.5,0.5,1.515,1.515,0.94,0.94,0.575,6.39,12.15,11.5,5.0,1.715,2,0.0,0.0,1.0,0.5,2.0,0.0,1.365,1.365,1.635,1.635,-0.275,13.36,16.68,7.0,7.0,1.15,5f5fc5f8-1ad0-5755-9885-70ded0a6ecfb
20,09/09/2017,Freiburg,Borussia Dortmund,0-0,7.5,5.0,1.4,1.59,2.35,2,0.0,0.5,0.5,0.5,2.0,0.5,0.345,0.345,2.2,2.2,-1.855,11.15,8.36,4.0,9.5,0.235,2,1.0,0.0,0.0,2.5,0.0,3.0,1.595,1.595,0.45,0.45,1.145,4.64,20.57,8.5,2.0,2.26,d6703f3c-114b-56b5-84d2-b4e583afdbcc
21,09/09/2017,Hoffenheim,Bayern Munich,2-0,7.0,4.5,1.45,1.44,2.74,2,0.5,0.5,0.0,1.5,1.0,2.0,0.825,0.825,1.62,1.24,-0.415,10.59,10.02,6.0,8.0,0.865,2,1.0,0.0,0.0,2.5,0.5,3.0,2.09,1.71,1.06,1.06,0.65,9.33,16.25,12.0,8.5,2.215,74161f9b-907a-5b7f-9703-35aebc1d6d6c
22,09/09/2017,Mainz 05,Bayer Leverkusen,3-1,3.0,3.4,2.38,1.77,2.05,2,0.0,0.0,1.0,0.0,1.0,0.0,0.455,0.455,1.35,0.97,-0.515,7.21,10.02,4.0,4.5,0.695,2,0.0,0.5,0.5,1.5,2.5,0.5,2.16,1.78,1.73,1.35,0.43,8.8,13.5,14.0,8.5,1.705,fd3962c5-28c9-5136-8a43-7cbe8ff46fcf
