Match Number,Round Number,Date,Location,Home Team,Away Team,Result
257,29,13/04/2024 13:30,BORUSSIA-PARK,Borussia M.Gladbach,Borussia Dortmund,
258,29,13/04/2024 13:30,MEWA ARENA,Mainz 05,Hoffenheim,
259,29,13/04/2024 13:30,BayArena,Bayer Leverkusen,Werder Bremen,
260,29,13/04/2024 13:30,Red Bull Arena,RasenBallsport Leipzig,Wolfsburg,
261,29,13/04/2024 13:30,Allianz Arena,Bayern Munich,FC Cologne,
262,30,20/04/2024 13:30,Voith-Arena,FC Heidenheim,RasenBallsport Leipzig,
263,30,20/04/2024 13:30,wohninvest WESERSTADION,Werder Bremen,VfB Stuttgart,
264,30,20/04/2024 13:30,PreZero Arena,Hoffenheim,Borussia M.Gladbach,
265,30,20/04/2024 13:30,RheinEnergieSTADION,FC Cologne,Darmstadt,
266,30,20/04/2024 13:30,Volkswagen Arena,Wolfsburg,Bochum,
267,30,20/04/2024 13:30,Deutsche Bank Park,Eintracht Frankfurt,Augsburg,
268,30,20/04/2024 13:30,Europa-Park Stadion,Freiburg,Mainz 05,
269,30,20/04/2024 13:30,An der Alten Försterei,Union Berlin,Bayern Munich,
270,30,20/04/2024 13:30,SIGNAL IDUNA PARK,Borussia Dortmund,Bayer Leverkusen,
271,31,27/04/2024 13:30,Merck-Stadion am Böllenfalltor,Darmstadt,FC Heidenheim,
272,31,27/04/2024 13:30,WWK ARENA,Augsburg,Werder Bremen,
273,31,27/04/2024 13:30,Vonovia Ruhrstadion,Bochum,Hoffenheim,
274,31,27/04/2024 13:30,BORUSSIA-PARK,Borussia M.Gladbach,Union Berlin,
275,31,27/04/2024 13:30,MEWA ARENA,Mainz 05,FC Cologne,
276,31,27/04/2024 13:30,BayArena,Bayer Leverkusen,VfB Stuttgart,
277,31,27/04/2024 13:30,Europa-Park Stadion,Freiburg,Wolfsburg,
278,31,27/04/2024 13:30,Red Bull Arena,RasenBallsport Leipzig,Borussia Dortmund,
279,31,27/04/2024 13:30,Allianz Arena,Bayern Munich,Eintracht Frankfurt,
280,32,04/05/2024 13:30,Voith-Arena,FC Heidenheim,Mainz 05,
281,32,04/05/2024 13:30,Mercedes-Benz Arena,VfB Stuttgart,Bayern Munich,
282,32,04/05/2024 13:30,wohninvest WESERSTADION,Werder Bremen,Borussia M.Gladbach,
283,32,04/05/2024 13:30,PreZero Arena,Hoffenheim,RasenBallsport Leipzig,
284,32,04/05/2024 13:30,RheinEnergieSTADION,FC Cologne,Freiburg,
285,32,04/05/2024 13:30,Volkswagen Arena,Wolfsburg,Darmstadt,
286,32,04/05/2024 13:30,Deutsche Bank Park,Eintracht Frankfurt,Bayer Leverkusen,
287,32,04/05/2024 13:30,An der Alten Försterei,Union Berlin,Bochum,
288,32,04/05/2024 13:30,SIGNAL IDUNA PARK,Borussia Dortmund,Augsburg,
289,33,11/05/2024 13:30,Merck-Stadion am Böllenfalltor,Darmstadt,Hoffenheim,
290,33,11/05/2024 13:30,WWK ARENA,Augsburg,VfB Stuttgart,
291,33,11/05/2024 13:30,Vonovia Ruhrstadion,Bochum,Bayer Leverkusen,
292,33,11/05/2024 13:30,RheinEnergieSTADION,FC Cologne,Union Berlin,
293,33,11/05/2024 13:30,BORUSSIA-PARK,Borussia M.Gladbach,Eintracht Frankfurt,
294,33,11/05/2024 13:30,MEWA ARENA,Mainz 05,Borussia Dortmund,
295,33,11/05/2024 13:30,Europa-Park Stadion,Freiburg,FC Heidenheim,
296,33,11/05/2024 13:30,Red Bull Arena,RasenBallsport Leipzig,Werder Bremen,
297,33,11/05/2024 13:30,Allianz Arena,Bayern Munich,Wolfsburg,
298,34,18/05/2024 13:30,Voith-Arena,FC Heidenheim,FC Cologne,
299,34,18/05/2024 13:30,Mercedes-Benz Arena,VfB Stuttgart,Borussia M.Gladbach,
300,34,18/05/2024 13:30,wohninvest WESERSTADION,Werder Bremen,Bochum,
301,34,18/05/2024 13:30,PreZero Arena,Hoffenheim,Bayern Munich,
302,34,18/05/2024 13:30,Volkswagen Arena,Wolfsburg,Mainz 05,
303,34,18/05/2024 13:30,Deutsche Bank Park,Eintracht Frankfurt,RasenBallsport Leipzig,
304,34,18/05/2024 13:30,BayArena,Bayer Leverkusen,Augsburg,
305,34,18/05/2024 13:30,An der Alten Försterei,Union Berlin,Freiburg,
306,34,18/05/2024 13:30,SIGNAL IDUNA PARK,Borussia Dortmund,Darmstadt,
