Match Number,Round Number,Date,Location,Home Team,Away Team,Result
154,18,14/01/2024 15:00,Stade Francis-Le Blé,Brest,Montpellier,
155,18,14/01/2024 15:00,Stade Océane,Le Havre,Lyon,
156,18,14/01/2024 15:00,Stade Pierre-Mauroy,Lille,Lorient,
157,18,14/01/2024 15:00,Stade Vélodrome,Marseille,Strasbourg,
158,18,14/01/2024 15:00,Stade Saint-Symphorien,Metz,Toulouse,
159,18,14/01/2024 15:00,Stade Louis II,Monaco,Reims,
160,18,14/01/2024 15:00,Stade de la Beaujoire,Nantes,Clermont Foot,
161,18,14/01/2024 15:00,Roazhon Park,Rennes,Nice,
162,18,14/01/2024 20:45,Stade Bollaert-Delelis,Lens,Paris Saint Germain,
163,19,28/01/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Strasbourg,
164,19,28/01/2024 15:00,Stade du Moustoir,Lorient,Le Havre,
165,19,28/01/2024 15:00,Parc Olympique Lyonnais,Lyon,Rennes,
166,19,28/01/2024 15:00,Stade Vélodrome,Marseille,Monaco,
167,19,28/01/2024 15:00,Stade de la Mosson,Montpellier,Lille,
168,19,28/01/2024 15:00,Stade de Nice,Nice,Metz,
169,19,28/01/2024 15:00,Parc des Princes,Paris Saint Germain,Brest,
170,19,28/01/2024 15:00,Stade Auguste Delaune,Reims,Nantes,
171,19,28/01/2024 15:00,Stadium de Toulouse,Toulouse,Lens,
172,20,04/02/2024 15:00,Stade Francis-Le Blé,Brest,Nice,
173,20,04/02/2024 15:00,Stade Pierre-Mauroy,Lille,Clermont Foot,
174,20,04/02/2024 15:00,Stade Saint-Symphorien,Metz,Lorient,
175,20,04/02/2024 15:00,Stade Louis II,Monaco,Le Havre,
176,20,04/02/2024 15:00,Stade de la Beaujoire,Nantes,Lens,
177,20,04/02/2024 15:00,Stade Auguste Delaune,Reims,Toulouse,
178,20,04/02/2024 15:00,Roazhon Park,Rennes,Montpellier,
179,20,04/02/2024 15:00,Stade de la Meinau,Strasbourg,Paris Saint Germain,
180,20,04/02/2024 20:45,Parc Olympique Lyonnais,Lyon,Marseille,
181,21,11/02/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Brest,
182,21,11/02/2024 15:00,Stade Océane,Le Havre,Rennes,
183,21,11/02/2024 15:00,Stade Bollaert-Delelis,Lens,Strasbourg,
184,21,11/02/2024 15:00,Stade du Moustoir,Lorient,Reims,
185,21,11/02/2024 15:00,Stade Vélodrome,Marseille,Metz,
186,21,11/02/2024 15:00,Stade de la Mosson,Montpellier,Lyon,
187,21,11/02/2024 15:00,Stade de Nice,Nice,Monaco,
188,21,11/02/2024 15:00,Parc des Princes,Paris Saint Germain,Lille,
189,21,11/02/2024 15:00,Stadium de Toulouse,Toulouse,Nantes,
190,22,18/02/2024 15:00,Stade Francis-Le Blé,Brest,Marseille,
191,22,18/02/2024 15:00,Stade Pierre-Mauroy,Lille,Le Havre,
192,22,18/02/2024 15:00,Parc Olympique Lyonnais,Lyon,Nice,
193,22,18/02/2024 15:00,Stade Louis II,Monaco,Toulouse,
194,22,18/02/2024 15:00,Stade de la Mosson,Montpellier,Metz,
195,22,18/02/2024 15:00,Stade de la Beaujoire,Nantes,Paris Saint Germain,
196,22,18/02/2024 15:00,Stade Auguste Delaune,Reims,Lens,
197,22,18/02/2024 15:00,Roazhon Park,Rennes,Clermont Foot,
198,22,18/02/2024 15:00,Stade de la Meinau,Strasbourg,Lorient,
199,23,25/02/2024 15:00,Stade Océane,Le Havre,Reims,
200,23,25/02/2024 15:00,Stade Bollaert-Delelis,Lens,Monaco,
201,23,25/02/2024 15:00,Stade du Moustoir,Lorient,Nantes,
202,23,25/02/2024 15:00,Stade Vélodrome,Marseille,Montpellier,
203,23,25/02/2024 15:00,Stade Saint-Symphorien,Metz,Lyon,
204,23,25/02/2024 15:00,Stade de Nice,Nice,Clermont Foot,
205,23,25/02/2024 15:00,Parc des Princes,Paris Saint Germain,Rennes,
206,23,25/02/2024 15:00,Stade de la Meinau,Strasbourg,Brest,
207,23,25/02/2024 15:00,Stadium de Toulouse,Toulouse,Lille,
208,24,03/03/2024 15:00,Stade Francis-Le Blé,Brest,Le Havre,
209,24,03/03/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Marseille,
210,24,03/03/2024 15:00,Parc Olympique Lyonnais,Lyon,Lens,
211,24,03/03/2024 15:00,Stade Louis II,Monaco,Paris Saint Germain,
212,24,03/03/2024 15:00,Stade de la Mosson,Montpellier,Strasbourg,
213,24,03/03/2024 15:00,Stade de la Beaujoire,Nantes,Metz,
214,24,03/03/2024 15:00,Stade Auguste Delaune,Reims,Lille,
215,24,03/03/2024 15:00,Roazhon Park,Rennes,Lorient,
216,24,03/03/2024 15:00,Stadium de Toulouse,Toulouse,Nice,
217,25,10/03/2024 15:00,Stade Océane,Le Havre,Toulouse,
218,25,10/03/2024 15:00,Stade Bollaert-Delelis,Lens,Brest,
219,25,10/03/2024 15:00,Stade Pierre-Mauroy,Lille,Rennes,
220,25,10/03/2024 15:00,Stade du Moustoir,Lorient,Lyon,
221,25,10/03/2024 15:00,Stade Vélodrome,Marseille,Nantes,
222,25,10/03/2024 15:00,Stade Saint-Symphorien,Metz,Clermont Foot,
223,25,10/03/2024 15:00,Stade de Nice,Nice,Montpellier,
224,25,10/03/2024 15:00,Parc des Princes,Paris Saint Germain,Reims,
225,25,10/03/2024 15:00,Stade de la Meinau,Strasbourg,Monaco,
226,26,17/03/2024 15:00,Stade Francis-Le Blé,Brest,Lille,
227,26,17/03/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Le Havre,
228,26,17/03/2024 15:00,Stade Bollaert-Delelis,Lens,Nice,
229,26,17/03/2024 15:00,Stade Louis II,Monaco,Lorient,
230,26,17/03/2024 15:00,Stade de la Mosson,Montpellier,Paris Saint Germain,
231,26,17/03/2024 15:00,Stade de la Beaujoire,Nantes,Strasbourg,
232,26,17/03/2024 15:00,Stade Auguste Delaune,Reims,Metz,
233,26,17/03/2024 15:00,Roazhon Park,Rennes,Marseille,
234,26,17/03/2024 15:00,Stadium de Toulouse,Toulouse,Lyon,
235,27,31/03/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Toulouse,
236,27,31/03/2024 15:00,Stade Océane,Le Havre,Montpellier,
237,27,31/03/2024 15:00,Stade Pierre-Mauroy,Lille,Lens,
238,27,31/03/2024 15:00,Stade du Moustoir,Lorient,Brest,
239,27,31/03/2024 15:00,Parc Olympique Lyonnais,Lyon,Reims,
240,27,31/03/2024 15:00,Stade Saint-Symphorien,Metz,Monaco,
241,27,31/03/2024 15:00,Stade de Nice,Nice,Nantes,
242,27,31/03/2024 15:00,Stade de la Meinau,Strasbourg,Rennes,
243,27,31/03/2024 20:45,Stade Vélodrome,Marseille,Paris Saint Germain,
244,28,07/04/2024 15:00,Stade Francis-Le Blé,Brest,Metz,
245,28,07/04/2024 15:00,Stade Bollaert-Delelis,Lens,Le Havre,
246,28,07/04/2024 15:00,Stade Pierre-Mauroy,Lille,Marseille,
247,28,07/04/2024 15:00,Stade Louis II,Monaco,Rennes,
248,28,07/04/2024 15:00,Stade de la Mosson,Montpellier,Lorient,
249,28,07/04/2024 15:00,Stade de la Beaujoire,Nantes,Lyon,
250,28,07/04/2024 15:00,Parc des Princes,Paris Saint Germain,Clermont Foot,
251,28,07/04/2024 15:00,Stade Auguste Delaune,Reims,Nice,
252,28,07/04/2024 15:00,Stadium de Toulouse,Toulouse,Strasbourg,
253,29,14/04/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Montpellier,
254,29,14/04/2024 15:00,Stade Océane,Le Havre,Nantes,
255,29,14/04/2024 15:00,Stade du Moustoir,Lorient,Paris Saint Germain,
256,29,14/04/2024 15:00,Parc Olympique Lyonnais,Lyon,Brest,
257,29,14/04/2024 15:00,Stade Vélodrome,Marseille,Nice,
258,29,14/04/2024 15:00,Stade Saint-Symphorien,Metz,Lens,
259,29,14/04/2024 15:00,Stade Louis II,Monaco,Lille,
260,29,14/04/2024 15:00,Roazhon Park,Rennes,Toulouse,
261,29,14/04/2024 15:00,Stade de la Meinau,Strasbourg,Reims,
262,30,21/04/2024 15:00,Stade Francis-Le Blé,Brest,Monaco,
263,30,21/04/2024 15:00,Stade Océane,Le Havre,Metz,
264,30,21/04/2024 15:00,Stade Bollaert-Delelis,Lens,Clermont Foot,
265,30,21/04/2024 15:00,Stade Pierre-Mauroy,Lille,Strasbourg,
266,30,21/04/2024 15:00,Stade de la Beaujoire,Nantes,Rennes,
267,30,21/04/2024 15:00,Stade de Nice,Nice,Lorient,
268,30,21/04/2024 15:00,Stade Auguste Delaune,Reims,Montpellier,
269,30,21/04/2024 15:00,Stadium de Toulouse,Toulouse,Marseille,
270,30,21/04/2024 20:45,Parc des Princes,Paris Saint Germain,Lyon,
271,31,28/04/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Reims,
272,31,28/04/2024 15:00,Stade du Moustoir,Lorient,Toulouse,
273,31,28/04/2024 15:00,Parc Olympique Lyonnais,Lyon,Monaco,
274,31,28/04/2024 15:00,Stade Vélodrome,Marseille,Lens,
275,31,28/04/2024 15:00,Stade Saint-Symphorien,Metz,Lille,
276,31,28/04/2024 15:00,Stade de la Mosson,Montpellier,Nantes,
277,31,28/04/2024 15:00,Parc des Princes,Paris Saint Germain,Le Havre,
278,31,28/04/2024 15:00,Roazhon Park,Rennes,Brest,
279,31,28/04/2024 15:00,Stade de la Meinau,Strasbourg,Nice,
280,32,04/05/2024 15:00,Stade Francis-Le Blé,Brest,Nantes,
281,32,04/05/2024 15:00,Stade Océane,Le Havre,Strasbourg,
282,32,04/05/2024 15:00,Stade Bollaert-Delelis,Lens,Lorient,
283,32,04/05/2024 15:00,Stade Pierre-Mauroy,Lille,Lyon,
284,32,04/05/2024 15:00,Stade Saint-Symphorien,Metz,Rennes,
285,32,04/05/2024 15:00,Stade Louis II,Monaco,Clermont Foot,
286,32,04/05/2024 15:00,Stade de Nice,Nice,Paris Saint Germain,
287,32,04/05/2024 15:00,Stade Auguste Delaune,Reims,Marseille,
288,32,04/05/2024 15:00,Stadium de Toulouse,Toulouse,Montpellier,
289,33,11/05/2024 15:00,Stade Francis-Le Blé,Brest,Reims,
290,33,11/05/2024 15:00,Stade Gabriel Montpied,Clermont Foot,Lyon,
291,33,11/05/2024 15:00,Stade Vélodrome,Marseille,Lorient,
292,33,11/05/2024 15:00,Stade de la Mosson,Montpellier,Monaco,
293,33,11/05/2024 15:00,Stade de la Beaujoire,Nantes,Lille,
294,33,11/05/2024 15:00,Stade de Nice,Nice,Le Havre,
295,33,11/05/2024 15:00,Parc des Princes,Paris Saint Germain,Toulouse,
296,33,11/05/2024 15:00,Roazhon Park,Rennes,Lens,
297,33,11/05/2024 15:00,Stade de la Meinau,Strasbourg,Metz,
298,34,18/05/2024 15:00,Stade Océane,Le Havre,Marseille,
299,34,18/05/2024 15:00,Stade Bollaert-Delelis,Lens,Montpellier,
300,34,18/05/2024 15:00,Stade Pierre-Mauroy,Lille,Nice,
301,34,18/05/2024 15:00,Stade du Moustoir,Lorient,Clermont Foot,
302,34,18/05/2024 15:00,Parc Olympique Lyonnais,Lyon,Strasbourg,
303,34,18/05/2024 15:00,Stade Saint-Symphorien,Metz,Paris Saint Germain,
304,34,18/05/2024 15:00,Stade Louis II,Monaco,Nantes,
305,34,18/05/2024 15:00,Stade Auguste Delaune,Reims,Rennes,
306,34,18/05/2024 15:00,Stadium de Toulouse,Toulouse,Brest,
